District,total_journey_min,nearest_competitor_drive_min,imd_decile_mean,geo_barriers_decile,wider_barriers_decile,income_decile,avg_fsm%,pop%_most_deprived,pop%_moderately_deprived,pop%_least_deprived,Population,Authority_Name,Region_Name,Post_Town,lsoa_count,nearest_ferry_terminal,competitor_context,Visits,visits_per_1000,predicted_visit_rate,performance_gap,visits_gap_raw,visits_gap,composite_need_score,impact_score,need_tier,visit_tier,priority_zone,intervention_type,deprivation_tier,fsm_tier,visit_rate_tier,composite_need_tier,intersection_segment,performance_ratio,fragility_score,fragility_tier,fragility_alert,gap_score,need_inverse_score,population_score,accessibility_score_norm,growth_potential_score,growth_potential_tier,risk_score,risk_flags,risk_tier,safe_zone_lower_1rmse,safe_zone_upper_1rmse,safe_zone_lower_2rmse,safe_zone_upper_2rmse,safe_zone_status,needs_intervention,high_potential_flag,underperformance_confidence,sensitivity_total_journey_min_delta,sensitivity_total_journey_min_new_pred,sensitivity_total_journey_min_impact,sensitivity_geo_barriers_decile_delta,sensitivity_geo_barriers_decile_new_pred,sensitivity_geo_barriers_decile_impact,sensitivity_income_decile_delta,sensitivity_income_decile_new_pred,sensitivity_income_decile_impact,shap_narrative,shap_error
BH1,35.9,33.5,4.09,8.56473525313516,2.6701114723641433,4.914653971202973,26.348071011374117,68.24392320792693,20.068896113949528,11.687180678123548,51672.0,"Bournemouth, Christchurch and Poole",South West,Unknown,28,Poole Quay, [Kingston Lacy Estate: 25Km; Kingston Lacy: 25Km; Brownsea Island: 13Km],49.0,0.9482892088558601,2.7538791529796125,1.8055899441237524,9.05171079114414,9.05171079114414,55.67516754896108,66.12774965770517,High Need,Low Visit Rate,Urgent Action,Crisis Intervention,High Deprivation,High FSM,Low Visit Rate,High Need,High Deprivation + High FSM + Low Visit Rate,0.34434670375054055,-51.50782335789076,Severe Under-performance,False,27.081079085818025,1.5100753126755109,72.22913375920827,0,29.371583274589764,Medium,40,HighNeedLowVisits;ExtremeDeprivation,Medium Risk,2.0038791529796125,3.5038791529796125,1.2538791529796125,4.2538791529796125,Severe Underperformance,True,False,1.2037266294158349,-15.0,2.955883405288412,0.2020042523087997,2.0,1.335114329809491,-1.4187648231701215,2.0,1.5961223130301507,-1.1577568399494618,"Engagement status: Below expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context",
BH10,36.1,23.3,5.36,6.409396160169421,3.804135202162343,5.0027029286371105,21.102021370383635,41.74213503497088,35.14921837991473,23.108646585114386,35887.0,"Bournemouth, Christchurch and Poole",South West,Unknown,21,Poole Quay, [Kingston Lacy Estate: 17Km; Kingston Lacy: 17Km; White Mill: 18Km; Brownsea Island: 13Km],103.0,2.8701200992002676,3.555326902606422,0.6852068034061545,7.129879900799732,7.129879900799732,35.550100935594706,46.27471035731549,High Need,Low Visit Rate,Urgent Action,Crisis Intervention,High Deprivation,Medium FSM,Low Visit Rate,High Need,High Deprivation + Medium FSM + Low Visit Rate,0.8072731925427653,13.68319726847913,Moderate Over-performance,False,10.277050829604544,37.11151815224591,50.16424607556718,0,30.097563669509352,Medium,0,,Minimal Risk,2.805326902606422,4.3053269026064225,2.055326902606422,5.0553269026064225,Within Safe Zone,False,False,0.456804535604103,-15.0,5.256759687354086,1.7014327847476642,2.0,2.694217599141988,-0.8611093034644339,2.0,3.1348662717633657,-0.4204606308430563,"Engagement status: Below expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context",
BH11,31.8,19.1,4.05,5.240572895721843,3.834565533455007,4.131097843907569,30.699497106875427,65.48086738639527,21.78983512234355,12.729297491261175,32327.0,"Bournemouth, Christchurch and Poole",South West,Unknown,20,Poole Quay, [Kingston Lacy Estate: 15Km; Kingston Lacy: 15Km; White Mill: 17Km; Badbury Rings: 17Km; Brownsea Island: 13Km],131.0,4.05234014910137,4.24079297325442,0.18845282415304965,5.94765985089863,5.94765985089863,55.04645630253932,56.37549896447341,High Need,Medium Visit Rate,Monitor,Sustain & Optimize,High Deprivation,High FSM,Medium Visit Rate,High Need,High Deprivation + High FSM + Medium Visit Rate,0.9555618901131055,34.56576021532414,Significant Over-performance,False,2.8265032442408797,2.6222717556534008,45.187939445617076,0,3.8643082657237158,Low,10,ExtremeDeprivation,Minimal Risk,3.49079297325442,4.99079297325442,2.74079297325442,5.74079297325442,Within Safe Zone,False,False,0.1256352161020331,-15.0,6.579554203685795,2.338761230431375,2.0,3.58946227220698,-0.6513307010474398,2.0,3.842094795076497,-0.3986981781779231,"Engagement status: In line with expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context",
BH12,29.7,25.5,5.77,6.427671299040593,4.887988759358054,5.065885090781356,24.51954829853529,39.31809699444554,33.68460339414696,26.997299611407495,45549.0,"Bournemouth, Christchurch and Poole",South West,Unknown,27,Poole Quay, [Kingston Lacy Estate: 22Km; Kingston Lacy: 22Km; The Bakehouse: 28Km; Brownsea Island: 9Km],311.0,6.8278118070649185,4.161511244241667,-2.6663005628232517,3.1721881929350815,3.1721881929350815,34.878532385672464,33.93153724877597,High Need,Medium Visit Rate,Monitor,Sustain & Optimize,High Deprivation,Medium FSM,Medium Visit Rate,High Need,High Deprivation + Medium FSM + Medium Visit Rate,1.640704880111196,131.05013057293684,Extreme Over-performance,True,-39.99041789270659,38.29952959102696,63.670165923482294,0,2.7617382124768,Low,40,UnderperformingPrediction;FragileOverperformance,Medium Risk,3.411511244241667,4.911511244241667,2.661511244241667,5.661511244241667,Severe Overperformance,False,True,0.0,-15.0,7.198224764593209,3.036713520351542,2.0,4.401149454792299,0.23963821055063228,2.0,4.935363799996752,0.7738525557550853,"Engagement status: Above expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context [Less typical visitor pattern]",
BH13,30.4,30.8,8.12,3.736308451737709,6.438129544393303,8.620038689880595,14.813333333333334,9.10546327796678,33.766926822760325,57.127609899272905,14991.0,"Bournemouth, Christchurch and Poole",South West,Unknown,9,Poole Quay, [Kingston Lacy Estate: 24Km; Corfe Castle: 28Km; The Bakehouse: 30Km; Brownsea Island: 10Km],114.0,7.604562737642586,5.9850307933427125,-1.6195319442998732,2.3954372623574143,2.3954372623574143,10.817824294576745,14.758788793275965,Low Need,High Visit Rate,Maintain,Model District,Low Deprivation,Low FSM,High Visit Rate,Low Need,Low Deprivation + Low FSM + High Visit Rate,1.2705970946885212,4.491958529927786,Stable,False,-24.290494532454872,80.86316131663884,20.9550035644893,0,21.04268883121407,Low,0,,Minimal Risk,5.2350307933427125,6.7350307933427125,4.4850307933427125,7.4850307933427125,Severe Overperformance,False,True,0.0,-15.0,9.373506781232441,3.388475987889729,2.0,5.9022546068933766,-0.08277618644933593,2.0,6.383180085460121,0.39814929211740857,"Engagement status: Above expected | Main barriers: local income context, drive time to nearest NT site [Kingston Lacy Estate: 24Km; Corfe Castle: 28Km; The Bakehouse: 30Km; Brownsea Island: 10Km] | Positive factors: Brownsea journey time, deprivation level",
BH14,26.1,26.4,7.52,6.097613882863341,5.643627982646421,6.867380694143167,13.340000000000002,9.894251626898047,41.02765726681128,49.07809110629067,36880.0,"Bournemouth, Christchurch and Poole",South West,Unknown,20,Poole Quay, [Kingston Lacy Estate: 21Km; Kingston Lacy: 21Km; The Bakehouse: 27Km; Brownsea Island: 7Km],358.0,9.707158351409978,5.894002384156262,-3.8131559672537163,0.2928416485900218,0.2928416485900218,10.927976138828633,8.528108242950108,Low Need,High Visit Rate,Maintain,Model District,Low Deprivation,Low FSM,High Visit Rate,Low Need,Low Deprivation + Low FSM + High Visit Rate,1.6469552807620007,35.44307917705116,Significant Over-performance,False,-57.19148949174655,80.66830160948128,51.55230014397741,0,10.785479171695945,Low,25,UnderperformingPrediction,Low Risk,5.144002384156262,6.644002384156262,4.394002384156262,7.394002384156262,Severe Overperformance,False,True,0.0,-15.0,8.90988987865988,3.0158874945036187,2.0,5.817239563885393,-0.07676282027086856,2.0,6.405342995227166,0.5113406110709038,"Engagement status: Above expected | Main barriers: geographic access barriers, drive time to nearest NT site [Kingston Lacy Estate: 21Km; Kingston Lacy: 21Km; The Bakehouse: 27Km; Brownsea Island: 7Km] | Positive factors: Brownsea journey time, deprivation level",
BH15,19.1,18.8,5.76,6.3475342926870315,5.754944037700917,5.230665656820668,24.643471855760776,29.245560885298328,47.95085416140705,22.803584953294624,47532.0,"Bournemouth, Christchurch and Poole",South West,Unknown,29,Poole Quay, [Kingston Lacy Estate: 18Km; Kingston Lacy: 18Km; Brownsea Island: 4Km],457.0,9.61457544391147,6.000942881459093,-3.613632562452377,0.3854245560885303,0.3854245560885303,27.86493417643706,20.66172759177153,High Need,High Visit Rate,Maintain,Model District,Moderate Deprivation,Medium FSM,High Visit Rate,High Need,Moderate Deprivation + Medium FSM + High Visit Rate,1.6021774634145067,86.36161322516047,Extreme Over-performance,True,-54.19894452189795,50.70665452347162,66.44208054347978,0,1.4519981772901136,Low,40,UnderperformingPrediction;FragileOverperformance,Medium Risk,5.250942881459093,6.750942881459093,4.500942881459093,7.500942881459093,Severe Overperformance,False,True,0.0,-15.0,10.149178668791487,4.1482357873323945,2.0,6.457116622541684,0.45617374108259146,2.0,7.200106030525162,1.1991631490660692,"Engagement status: Above expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context [Less typical visitor pattern]",
BH16,27.3,11.5,5.51,2.601034833225538,7.557470202346854,5.5433798392312665,17.50197111925495,34.297329760694815,31.15125196341125,34.55141827589393,21646.0,Dorset,South West,Unknown,13,Poole Quay, [White Mill: 10Km; Kingston Lacy Estate: 14Km; Kingston Lacy: 14Km; The Bakehouse: 20Km; Brownsea Island: 8Km],195.0,9.008592811604917,11.255023128489492,2.2464303168845756,0.9914071883950832,0.9914071883950832,29.258722168262853,23.455327082969248,High Need,High Visit Rate,Maintain,Model District,Moderate Deprivation,Medium FSM,High Visit Rate,High Need,Moderate Deprivation + Medium FSM + High Visit Rate,0.8004064237595162,-6.898557885273615,Stable,False,33.693008354592855,48.24102971463202,30.25762171682579,0,44.30162393637001,Medium,0,,Minimal Risk,10.505023128489492,12.005023128489492,9.755023128489492,12.755023128489492,Severe Underperformance,True,False,1.4976202112563837,-15.0,12.784575432110595,1.5295523036211023,2.0,7.924895547578299,-3.330127580911193,2.0,8.67109368341562,-2.5839294450738723,"Engagement status: Below expected | Main barriers: deprivation level, high deprivation | Positive factors: Brownsea journey time, geographic access barriers",
BH17,26.5,15.7,6.71,4.987369901547117,5.854964838255977,5.999324894514768,17.439159346718203,27.30801687763713,22.78199718706048,49.909985935302394,35550.0,"Bournemouth, Christchurch and Poole",South West,Unknown,23,Poole Quay, [Kingston Lacy Estate: 13Km; Kingston Lacy: 13Km; White Mill: 14Km; The Bakehouse: 24Km; Brownsea Island: 8Km],266.0,7.482419127988749,6.580696646716405,-0.9017224812723432,2.5175808720112514,2.5175808720112514,24.347359618361452,24.59589434888677,Medium Need,High Visit Rate,Maintain,Model District,Low Deprivation,Medium FSM,High Visit Rate,Medium Need,Low Deprivation + Medium FSM + High Visit Rate,1.137025383432965,-6.492774373706434,Stable,False,-13.524453826445718,56.92927887394616,49.69317435245111,0,25.434886859278947,Medium,0,,Minimal Risk,5.830696646716405,7.330696646716405,5.080696646716405,8.080696646716405,Moderate Overperformance,False,False,0.0,-15.0,9.769237089252831,3.188540442536426,2.0,6.119067992056262,-0.46162865466014313,2.0,6.679713463904108,0.09901681718770217,"Engagement status: Above expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, drive time to nearest NT site [Kingston Lacy Estate: 13Km; Kingston Lacy: 13Km; White Mill: 14Km; The Bakehouse: 24Km; Brownsea Island: 8Km]",
BH18,31.1,16.2,8.2,3.9032454361054767,7.451277890466532,7.7647870182555785,14.692857142857145,21.07505070993915,6.040567951318458,72.8843813387424,24650.0,"Bournemouth, Christchurch and Poole",South West,Unknown,16,Poole Quay, [White Mill: 11Km; Kingston Lacy Estate: 11Km; Kingston Lacy: 11Km; Badbury Rings: 14Km; The Bakehouse: 25Km; Brownsea Island: 10Km],221.0,8.96551724137931,7.373104028820529,-1.5924132125587809,1.0344827586206904,1.0344827586206904,19.160392639814546,16.51572312373225,Medium Need,High Visit Rate,Maintain,Model District,Low Deprivation,Low FSM,High Visit Rate,Medium Need,Low Deprivation + Low FSM + High Visit Rate,1.215975958881665,0.0,Stable,False,-23.883755160994752,66.10507500645832,34.45672989558143,0,18.06252920155331,Low,0,,Minimal Risk,6.623104028820529,8.123104028820528,5.873104028820529,8.873104028820528,Severe Overperformance,False,True,0.0,-15.0,10.535260182163245,3.1621561533427167,2.0,6.685913469664061,-0.687190559156468,2.0,7.221864813594659,-0.15123921522586947,"Engagement status: Above expected | Main barriers: local income context | Positive factors: Brownsea journey time, deprivation level",
BH19,12.5,4.4,5.75,2.3708133971291865,5.955263157894737,5.882775119617225,19.187981220657274,9.465709728867623,90.53429027113238,0.0,12540.0,Dorset,South West,Unknown,9,Sandbanks Jetty," [Agglestone Rock: 4Km; Studland Bay: 5Km; Spyway sea saunter, Spyway: 5Km; National Trust - Purbeck: 6Km; Spyway Dinosaur Footprints: 6Km; Brownsea Island: 9Km]",92.0,7.33652312599681,14.00387171429333,6.66734858829652,2.66347687400319,2.66347687400319,12.382391176404518,16.658104445492732,Low Need,High Visit Rate,Maintain,Model District,Moderate Deprivation,Medium FSM,High Visit Rate,Low Need,Moderate Deprivation + Medium FSM + High Visit Rate,0.5238924831415473,-39.0620261835909,Severe Under-performance,False,100.0,78.09542695420538,17.528900320105116,0,100.0,Very High,0,,Minimal Risk,13.25387171429333,14.75387171429333,12.50387171429333,15.50387171429333,Severe Underperformance,True,False,3.0,-15.0,16.70592987686163,2.702058162568301,2.0,10.057635196106139,-3.9462365181871917,2.0,11.086150724925105,-2.9177209893682257,"Engagement status: Below expected | Main barriers: deprivation level, wider access barriers | Positive factors: Brownsea journey time, geographic access barriers",
BH2,34.6,31.2,4.71,7.787181512936994,2.67973533478175,4.991704523010073,4.18,41.6205806833893,49.298834682994276,9.080584633616432,20252.0,"Bournemouth, Christchurch and Poole",South West,Unknown,12,Poole Quay, [Kingston Lacy Estate: 26Km; Kingston Lacy: 26Km; The Bakehouse: 32Km; Brownsea Island: 13Km],25.0,1.234445980643887,3.1052924470155876,1.8708464663717006,8.765554019356113,8.765554019356113,30.38840647837251,47.568546592929096,High Need,Low Visit Rate,Urgent Action,Crisis Intervention,High Deprivation,Low FSM,Low Visit Rate,High Need,High Deprivation + Low FSM + Low Visit Rate,0.3975297018579617,-44.0183968279062,Severe Under-performance,False,28.05982680515125,46.242606943379336,28.309034233075664,0,38.73356218957179,Medium,30,HighNeedLowVisits,Medium Risk,2.3552924470155876,3.8552924470155876,1.6052924470155876,4.605292447015588,Severe Underperformance,True,False,1.2472309775811337,-15.0,3.7676718495268346,0.662379402511247,2.0,1.824656880212262,-1.2806355668033256,2.0,2.1176983805688883,-0.9875940664466993,"Engagement status: Below expected | Main barriers: geographic access barriers, wider access barriers | Positive factors: Brownsea journey time, local income context",
BH20,35.2,18.4,5.8,1.5158599945310363,7.516406890894175,6.241557287394039,17.166593608237516,5.004101722723544,84.1878589007383,10.808039376538146,29256.0,Dorset,South West,Unknown,18,Sandbanks Jetty, [Corfe Castle: 14Km; Clouds Hill: 15Km; The Bakehouse: 16Km; White Mill: 22Km; Agglestone Rock: 23Km; Brownsea Island: 28Km],240.0,8.203445447087777,8.866863719267927,0.6634182721801505,1.796554552912223,1.796554552912223,8.652849288377734,11.446658160601086,Low Need,High Visit Rate,Maintain,Model District,Moderate Deprivation,Medium FSM,High Visit Rate,Low Need,Moderate Deprivation + Medium FSM + High Visit Rate,0.9251800531524438,7.61482492818093,Stable,False,9.950256288454403,84.69302361786974,40.895176057814616,0,53.2401851754785,High,0,,Minimal Risk,8.116863719267927,9.616863719267927,7.366863719267927,10.366863719267927,Within Safe Zone,False,False,0.4422788481201003,-15.0,12.019094256979443,3.1522305377115156,2.0,6.908932662966862,-1.9579310563010655,2.0,7.512459709899318,-1.3544040093686096,"Engagement status: In line with expected | Main barriers: deprivation level, lower deprivation | Positive factors: Brownsea journey time, geographic access barriers",
BH21,37.7,9.6,7.8,2.2729000964508868,7.37217461804051,7.7635275863515005,12.28693288182353,12.131844168914856,25.33303512769259,62.53512070339256,71539.0,Dorset,South West,Unknown,45,Poole Quay, [Kingston Lacy Estate: 7Km; Kingston Lacy: 7Km; Badbury Rings: 9Km; White Mill: 9Km; The Bakehouse: 37Km; Brownsea Island: 17Km],642.0,8.97412600120214,6.208684516026804,-2.7654414851753364,1.0258739987978593,1.0258739987978593,12.178370782787457,11.6024815443448,Low Need,High Visit Rate,Maintain,Model District,Low Deprivation,Low FSM,High Visit Rate,Low Need,Low Deprivation + Low FSM + High Visit Rate,1.4454150437241184,18.86871883992418,Moderate Over-performance,False,-41.47737962928222,78.45634105804443,100.0,0,38.10224256296769,Medium,25,UnderperformingPrediction,Low Risk,5.458684516026804,6.958684516026804,4.708684516026804,7.708684516026804,Severe Overperformance,False,True,0.0,-15.0,10.723609670750724,4.51492515472392,2.0,6.620073266901199,0.4113887508743943,2.0,7.209602821099047,1.0009183050722426,"Engagement status: Above expected | Main barriers: local income context | Positive factors: Brownsea journey time, geographic access barriers",
BH22,40.3,16.5,7.36,2.8472815725461835,6.311485109460259,7.467917954112155,20.63939180387159,10.679771218197358,41.15442771678391,48.16580106501874,30422.0,Dorset,South West,Unknown,20,Poole Quay, [Kingston Lacy Estate: 15Km; Kingston Lacy: 15Km; Badbury Rings: 17Km; White Mill: 17Km; Brownsea Island: 21Km],217.0,7.132995858260469,5.033280718343913,-2.0997151399165563,2.867004141739531,2.867004141739531,13.667657393899628,18.16837260094833,Low Need,High Visit Rate,Maintain,Model District,Low Deprivation,Medium FSM,High Visit Rate,Low Need,Low Deprivation + Medium FSM + High Visit Rate,1.4171663090961912,16.54558618079598,Moderate Over-performance,False,-31.49250578561732,75.82177824263329,42.525056263017376,0,21.570921620731074,Low,25,UnderperformingPrediction,Low Risk,4.283280718343913,5.783280718343913,3.5332807183439128,6.533280718343913,Severe Overperformance,False,True,0.0,-15.0,8.901658148755642,3.868377430411729,2.0,5.2439965510576165,0.21071583271370375,2.0,5.7022893829401395,0.6690086645962268,"Engagement status: Above expected | Main barriers: local income context | Positive factors: Brownsea journey time, geographic access barriers",
